rank,song,artist,year,artist_clean,duration_ms,explicit
62,Daylight,David Kushner,2023,David Kushner,212953,False
63,Lift Me Up,Rihanna,2023,Rihanna,196519,False
64,Eyes Closed,Ed Sheeran,2023,Ed Sheeran,194848,False
65,TQG,Karol G and Shakira,2023,Karol G,198360,True
66,Try That in a Small Town,Jason Aldean,2023,Jason Aldean,181600,True
67,Tennessee Orange,Megan Moroney,2023,Megan Moroney,223119,False
68,Jingle Bell Rock,Bobby Helms,2023,Bobby Helms,130973,False
69,Princess Diana,Ice Spice and Nicki Minaj,2023,Ice Spice,172125,True
70,Tomorrow 2,GloRilla and Cardi B,2023,GloRilla,209811,True
71,A Holly Jolly Christmas,Burl Ives,2023,Burl Ives,135533,False
72,Where She Goes,Bad Bunny,2023,Bad Bunny,231704,True
73,Bebe Dame,Fuerza Regida and Grupo Frontera,2023,Fuerza Regida,271861,False
74,I Remember Everything,Zach Bryan featuring Kacey Musgraves,2023,Zach Bryan,227195,False
75,I Like You (A Happier Song),Post Malone featuring Doja Cat,2023,Post Malone,192840,True
76,What It Is (Block Boy),Doechii featuring Kodak Black,2023,Doechii,223343,True
77,Nobody Gets Me,SZA,2023,SZA,180853,True
78,Rich Men North of Richmond,Oliver Anthony Music,2023,Oliver Anthony Music,187244,False
79,Super Freaky Girl,Nicki Minaj,2023,Nicki Minaj,170977,True
80,Dial Drunk,Noah Kahan and Post Malone,2023,Noah Kahan,213817,True
81,What Was I Made For?,Billie Eilish,2023,Billie Eilish,222369,False
82,Seven,Jung Kook featuring Latto,2023,Jung Kook,183550,True
83,Wait for U,Future featuring Drake and Tems,2023,Future,189893,True
84,Last Christmas,Wham!,2023,Wham!,262960,False
85,Handle on You,Parker McCollum,2023,Parker McCollum,219967,False
86,Por Las Noches,Peso Pluma,2023,Peso Pluma,238888,False
